semester,day,room,building,teacher,hours,course_name,school_and_faculty,course_type,course_number
ב',ב',119א,מכסיקו,"ד""ר דגני רז אירית",1600 - 1200,העולם אבד מזמן: בעיית הייצוג בבדיון הפוסט-מודרני,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-4016-01
ב',ד',209 ,מכסיקו,"ד""ר דותן איל",1400 - 1000,תאוריות של ריבוי,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5024-01
"א'
א'","ב'
ד'","308 
308 ","טרובוביץ משפ
טרובוביץ משפ",פרופ טריגר צבי,"1000 - 0800
1600 - 1400",דיני משפחות,משפטים ,"שיעור
שיעור",1411-2119-01
ב',ה',208 ,מכסיקו,"ד""ר אילת ון-אסן יעל",1400 - 1000,"אמנות, מדע וטכנולוגיה",אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5062-01
א',ד',301 ,טרובוביץ משפ,"ד""ר ספיר יואב",2000 - 1800,דיון פלילי,משפטים ,שיעור,1411-2125-10
א',א',200 ,מכסיקו,"ד""ר רותם סטפני",1400 - 1000,מוזיאונים במאה ה-21,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5065-01
א',ג',102 ,טרובוביץ משפ,גב' גוטמן גן-אל נועם,2000 - 1800,דיון פלילי,משפטים ,תרגיל,1411-2125-11
א',ב',211 ,מכסיקו,"ד""ר דותן איל",1200 - 1000,הפואטיקה של המקרי,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5074-01
א',ג',102 ,טרובוביץ משפ,גב' גוטמן גן-אל נועם,2000 - 1800,דיון פלילי,משפטים ,תרגיל,1411-2125-12
א',ג',212 ,מכסיקו,"ד""ר בליך בן ברוך",1800 - 1400,"תרבות / אמנות / ארוטיקה, או: גופו של האמן",אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5075-01
"א'
א'","א'
ד'","100 
100 ","טרובוביץ משפ
טרובוביץ משפ",פרופ בלנק ישי,"1400 - 1200
1400 - 1200",משפט השלטון המקומי,משפטים ,"שיעור
שיעור",1411-2127-01
ב',א',120 ,מכסיקו,"ד""ר אונגר הנריק",1800 - 1400,"מימזיס בערבון מוגבל טרנספורמציות בהיצג האמנותי בספרות, ציור וקולנוע",אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5078-01
"ב'
ב'","ב'
ד'","100 
100 ","טרובוביץ משפ
טרובוביץ משפ",פרופ מונדלק גיא,"1400 - 1200
1200 - 1000",דיני רווחה,משפטים ,"שיעור
שיעור",1411-2132-01
א',ד',209 ,מכסיקו,"ד""ר זהבי אהד",1400 - 1000,מושגי יסוד בתרבות חזותית,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5080-01
"א'
ב'","ה'
ה'","102 
102 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר פלג איל","0945 - 0815
0930 - 0800",משפט מנהלי,משפטים ,"שיעור
שיעור",1411-2154-01
ב',ד',213 ,מכסיקו,"ד""ר אלפנדרי עידית",1600 - 1400,"אהבה, סליחה וטינה ביחס לפשעים נגד האנושות: אמנות ופילוסופיה",אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5081-01
"א'
א'","ב'
ה'","102 
102 ","טרובוביץ משפ
טרובוביץ משפ",פרופ וסטרייך אלימלך,"1400 - 1200
1400 - 1200",משפט עברי: יחסים כלכליים במשפחה במשפט העברי בהשוואה למשפט הישראלי,משפטים ,"שיעור
שיעור",1411-3109-01
א',ה',209 ,מכסיקו,"ד""ר אלפנדרי עידית",1400 - 1000,ניגוד ורציפות בין הנשגב לדיאלוג באמנות ובפסיכואנליזה,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5082-01
