building,day,teacher,school,room,semester,faculty,course_type,course_name,course_number,hours
מכסיקו,ב',"ד""ר דגני רז אירית",תכנית הבינתחומית לתואר שני באמנויות ,119א,ב',אמנויות,סמינר,העולם אבד מזמן: בעיית הייצוג בבדיון הפוסט-מודרני,0810-4016-01,1600 - 1200
מכסיקו,ד',"ד""ר דותן איל",תכנית הבינתחומית לתואר שני באמנויות ,209 ,ב',אמנויות,סמינר,תאוריות של ריבוי,0810-5024-01,1400 - 1000
מכסיקו,ה',"ד""ר אילת ון-אסן יעל",תכנית הבינתחומית לתואר שני באמנויות ,208 ,ב',אמנויות,סמינר,"אמנות, מדע וטכנולוגיה",0810-5062-01,1400 - 1000
מכסיקו,א',"ד""ר רותם סטפני",תכנית הבינתחומית לתואר שני באמנויות ,200 ,א',אמנויות,סמינר,מוזיאונים במאה ה-21,0810-5065-01,1400 - 1000
מכסיקו,ב',"ד""ר דותן איל",תכנית הבינתחומית לתואר שני באמנויות ,211 ,א',אמנויות,סמינר,הפואטיקה של המקרי,0810-5074-01,1200 - 1000
מכסיקו,ג',"ד""ר בליך בן ברוך",תכנית הבינתחומית לתואר שני באמנויות ,212 ,א',אמנויות,סמינר,"תרבות / אמנות / ארוטיקה, או: גופו של האמן",0810-5075-01,1800 - 1400
מכסיקו,א',"ד""ר אונגר הנריק",תכנית הבינתחומית לתואר שני באמנויות ,120 ,ב',אמנויות,סמינר,"מימזיס בערבון מוגבל טרנספורמציות בהיצג האמנותי בספרות, ציור וקולנוע",0810-5078-01,1800 - 1400
מכסיקו,ד',"ד""ר זהבי אהד",תכנית הבינתחומית לתואר שני באמנויות ,209 ,א',אמנויות,סמינר,מושגי יסוד בתרבות חזותית,0810-5080-01,1400 - 1000
מכסיקו,ד',"ד""ר אלפנדרי עידית",תכנית הבינתחומית לתואר שני באמנויות ,213 ,ב',אמנויות,סמינר,"אהבה, סליחה וטינה ביחס לפשעים נגד האנושות: אמנות ופילוסופיה",0810-5081-01,1600 - 1400
מכסיקו,ה',"ד""ר אלפנדרי עידית",תכנית הבינתחומית לתואר שני באמנויות ,209 ,א',אמנויות,סמינר,ניגוד ורציפות בין הנשגב לדיאלוג באמנות ובפסיכואנליזה,0810-5082-01,1400 - 1000
מכסיקו,ד',"ד""ר רותם סטפני",תכנית הבינתחומית לתואר שני באמנויות ,206א,ב',אמנויות,סמינר,בית: House and Home,0810-5083-01,1800 - 1600
מכסיקו,א',"ד""ר אונגר הנריק",תכנית הבינתחומית לתואר שני באמנויות ,206א,א',אמנויות,שיעור,סוגיות נבחרות באסתטיקה ובפילוסופיה של האמנויות,0810-6003-01,1800 - 1600
None,None,  ,תכנית הבינתחומית לתואר שני באמנויות ,    ,א',אמנויות,הדרכה אי,הנחיית תזה,0810-9977-01,None
מכסיקו,א',"ד""ר אהרונסון-להבי שרון",אמנות התאטרון ,212 ,ב',אמנויות,שיעור,על הבמה! מחזאות עולמית במאה העשרים ואחת,0811-0219-01,1600 - 1200
מכסיקו,א',פרופ קנר-אריאל רות,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,תיאטרון סיפור,0811-0220-01,2100 - 1800
מכסיקו,ג',פרופ קנר-אריאל רות,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,תיאטרון סיפור,0811-0220-01,1400 - 1100
מכסיקו,א',פרופ קנר-אריאל רות,אמנות התאטרון ,206ב,ב',אמנויות,עבודה מע,תיאטרון סיפור,0811-0220-01,2100 - 1800
מכסיקו,ג',פרופ קנר-אריאל רות,אמנות התאטרון ,206ב,ב',אמנויות,עבודה מע,תיאטרון סיפור,0811-0220-01,1500 - 1200
מכסיקו,ד',מר דומנוב איליה,אמנות התאטרון ,207א,א',אמנויות,עבודה מע,תנועה,0811-0222-01,1800 - 1600
מאירהוף ב.א',א',גב' קרמסקי יעל,אמנות התאטרון ,315 ,א',אמנויות,עבודה מע,יסודות המשחק,0811-0223-01,1500 - 1200
מכסיקו,ד',גב' קרמסקי יעל,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,יסודות המשחק,0811-0223-01,1500 - 1200
מאירהוף ב.א',א',גב' קרמסקי יעל,אמנות התאטרון ,315 ,ב',אמנויות,עבודה מע,יסודות המשחק,0811-0223-01,1500 - 1200
מכסיקו,ד',גב' קרמסקי יעל,אמנות התאטרון ,206ב,ב',אמנויות,עבודה מע,יסודות המשחק,0811-0223-01,1500 - 1200
מאירהוף ב.א',א',גב' אופנהיים לנדאו מיכל,אמנות התאטרון ,317 ,א',אמנויות,עבודה מע,גילוי הקול ותרגיל קולי,0811-0225-01,1100 - 0900
מכסיקו,ד',גב' רייזמן שוש,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,גילוי הקול ותרגיל קולי,0811-0225-01,1700 - 1500
מאירהוף ב.א',א',"ד""ר כהן בן שאול דפנה",אמנות התאטרון ,315 ,א',אמנויות,עבודה מע,אמנות הדיבור,0811-0226-01,1900 - 1600
מאירהוף ב.א',ה',"ד""ר כהן בן שאול דפנה",אמנות התאטרון ,315 ,ב',אמנויות,עבודה מע,אמנות הדיבור,0811-0226-01,1400 - 1100
מכסיקו,א',פרופ קנר-אריאל רות,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,עבודה על סצנות,0811-0227-01,1700 - 1400
מכסיקו,ג',פרופ קנר-אריאל רות,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,עבודה על סצנות,0811-0227-01,1800 - 1500
