unit,inner_phone,category,name,outer_phone,fax
מרכזייה,,מינהל כללי,,03-6408111,
יחידת בטיחות,036409555,מינהל כללי,מפקח בטיחות יחידה,,6409881
יחידת בטיחות,036405676,מינהל כללי,ממונה כימיה ואחראי רעלים,,
יחידת בטיחות,036407555,מינהל כללי,מנהל יחידת בטיחות,,6408555
יחידת בטיחות,036409966,מינהל כללי,ממונה בטיחות ביולוגית,,6409881
יחידת בטיחות,036406555,מינהל כללי,מזכירת יחידת בטיחות,,
אגף משאבי אנוש,036408603,מינהל כללי,מנהלת אגף משאבי אנוש,,036407916
אגף משאבי אנוש,036407968,מינהל כללי,מנהלת היחידה לתכנון וטיפוח משאבי אנוש,,036407916
אגף משאבי אנוש,036409741,מינהל כללי,מדור רישום ובקרת כח אדם,,036405546
אגף משאבי אנוש,036408575,מינהל כללי,מדור מיון וגיוס כח אדם,,036406858
אגף משאבי אנוש,036406130,מינהל כללי,היחידה לתשלומי שכר,,036407619
אגף משאבי אנוש,036409684,מינהל כללי,מדור נסיעות וזכויות אקדמיות,,036409531
אגף משאבי אנוש,036407272,מינהל כללי,מדור נסיעות וזכויות אקדמיות - התחשבנות,,036409531
אגף משאבי אנוש,036408955,מינהל כללי,מדור הדרכה,,036407920
אגף משאבי אנוש,036408906,מינהל כללי,מדור רווחה,,036407920
אגף משאבי אנוש,036408907,מינהל כללי,מתאם מערכות,,
הממונה על יישום חוק חופש המידע,036408095,מינהל כללי,הממונה על יישום חוק חופש המידע ,,036406319
דקאנט הסטודנטים,036408097,מינהל כללי,דקאנט הסטודנטים,,036409690
דקאנט הסטודנטים,036406797,מינהל כללי,לשכת דקאן הסטודנטים,6427171,036409690
דקאנט הסטודנטים,036408832,מינהל כללי,"שרות לסטודנט  (תעדות סטודנט , ולת""ם",,036409690
דקאנט הסטודנטים,036407761,מינהל כללי,"יעוץ לימודי ומקצועי , אבחון לקויות למידה",,036409690
דקאנט הסטודנטים,036408067,מינהל כללי,"המדור לסיוע כלכלי ע""ש ברגר",,036409690
דקאנט הסטודנטים,036409691,מינהל כללי,רווחת הסטודנט והמרכז לעולים,,036409690
דקאנט הסטודנטים,036408739,מינהל כללי,הכוון תעסוקתי,,036407028
דקאנט הסטודנטים,036408505,מינהל כללי,השרות הפסיכולוגי,,036409690
דקאנט הסטודנטים,036408848,מינהל כללי,התוכנית למעורבות חברתית,,036409690
דקאנט הסטודנטים,036408755,מינהל כללי,תקציבים,,036409690
דקאנט הסטודנטים,036408390,מינהל כללי,"פר""ח (פרוייקט חונכות)",6417119,
דקאנט הסטודנטים,036408832,מינהל כללי,נציב קבילות,,036409690
אגף כספים כלכלה ותקציבים,036408650,מינהל כללי,"סמנכ""ל לכספים",,036405483
אגף כספים כלכלה ותקציבים,036409761,מינהל כללי,חשב האוניברסיטה,,036409765
אגף כספים כלכלה ותקציבים,036408782,מינהל כללי,מדור ספקים ומוטבים,,036405643
אגף כספים כלכלה ותקציבים,036408217,מינהל כללי,מדור קרנות ותרומות,,036405487
אגף כספים כלכלה ותקציבים,036408898,מינהל כללי,מדור רישום והתאמות,,036409765
אגף כספים כלכלה ותקציבים,036408499,מינהל כללי,ארכיון,,
אגף כספים כלכלה ותקציבים,036405479,מינהל כללי,גזבר האוניברסיטה,,036409765
אגף כספים כלכלה ותקציבים,036409770,מינהל כללי,מדור תשלומים,,036409765
אגף כספים כלכלה ותקציבים,036405481,מינהל כללי,מדור גבייה ותקבולים,,036407178
אגף כספים כלכלה ותקציבים,036408638,מינהל כללי,יח' לתקציבים וכלכלה,,036406266
אגף כספים כלכלה ותקציבים,036408165,מינהל כללי,מערכות כספיות ממוחשבות,,036405487
אגף כספים כלכלה ותקציבים,036409762,מינהל כללי,ממונה על ביטוח,,036405672
אגף כספים כלכלה ותקציבים,036408631,מינהל כללי,יח' הספקה,,036409742
אגף כספים כלכלה ותקציבים,036408630,מינהל כללי,רכש מקומי,,036409767
אגף כספים כלכלה ותקציבים,036408900,מינהל כללי,הנהלת חשבונות רכש מקומי,,036409751
אגף כספים כלכלה ותקציבים,036409746,מינהל כללי,רכש חו'''ל,,036409742
אגף כספים כלכלה ותקציבים,036407691,מינהל כללי,אינונטר,,036409781
אגף כספים כלכלה ותקציבים,036409747,מינהל כללי,מחסן,,036409744
אגף כספים כלכלה ותקציבים,036408454,מינהל כללי,בית הדפוס,,036409682
אגף כספים כלכלה ותקציבים,036409595,מינהל כללי,עיצוב גרפי,,036406109
אגף כספים כלכלה ותקציבים,036408285,מינהל כללי,קצין בטיחות בתעבורה,,036406609
האגף לקשרי חוץ,036408226,מינהל כללי,סגן הנשיא,,6422752
האגף לקשרי חוץ,036408936,מינהל כללי,מנהל האגף לקשרי חוץ,,6422752
האגף לקשרי חוץ,036407288,מינהל כללי,עוזר לסגן הנשיא,,
האגף לקשרי חוץ,036408249,מינהל כללי,פרסומים/ פיתוח פרוייקטים,,036407080
האגף לקשרי חוץ,036408769,מינהל כללי,ארצות דוברות צרפתית,,036405075
האגף לקשרי חוץ,036408837,מינהל כללי,ארצות דוברות גרמנית,,036406547
האגף לקשרי חוץ,036408945,מינהל כללי,אמריקה הלטינית,,6412272
האגף לקשרי חוץ,036407546,מינהל כללי,אירוח,,036407546
האגף לקשרי חוץ,036408140,מינהל כללי,דסק אוסטרליה,,036406103
האגף לקשרי חוץ,036408411,מינהל כללי,הוקרת התורם,,036406141
האגף לקשרי חוץ,036408347,מינהל כללי,צילום,,036408355
האגף לקשרי חוץ,036407254,מינהל כללי,דסק צפון אמריקה וקנדה,,036406959
האגף לקשרי חוץ,036406163,מינהל כללי,ארכיון,,036406141
האגף לקשרי חוץ,036407200,מינהל כללי,תקציבים מינהל והפקה,,036408601
האגף לקשרי חוץ,036406181,מינהל כללי,מערכת תפעול תורמים,,036406141
האגף לקשרי חוץ,036406199,מינהל כללי,מזכירת חבר הנאמנים,,036406257
"יחידת תכנון , שיטות ובקרה",036408923,מינהל כללי,"יחידת תכנון , שיטות ובקרה",,036406319
האגף לתכנון אסטרטגי ולשיווק,036405902,מינהל כללי,"סמנכ""ל לתכנון אסטרטגי ולשיווק",,036405672
האגף לתכנון אסטרטגי ולשיווק,036409762,מינהל כללי,מנהל תחום בקרה,,
האגף לתכנון אסטרטגי ולשיווק,036405254,מינהל כללי,מנהל שיווק,,
אגף הנדסה ותחזוקה,036408360,מינהל כללי,"סמנכ""ל  להנדסה ותחזוקה",6424772,036406688
אגף הנדסה ותחזוקה,036408360,מינהל כללי,מזכירות האגף,,036406688
אגף הנדסה ותחזוקה,036408360,מינהל כללי,ממונה על נכסים והתקשרויות משקיות כלכליות,,036406688
אגף הנדסה ותחזוקה,036406262,מינהל כללי,מרכז מזנונים ונכסים,,036406688
אגף הנדסה ותחזוקה,036407887,מינהל כללי,תקציבן האגף,,036406688
אגף הנדסה ותחזוקה,036405781,מינהל כללי,אדריכל האוניברסיטה,,036406688
אגף הנדסה ותחזוקה,036405782,מינהל כללי,הנדסאית,,036406688
אגף הנדסה ותחזוקה,036409119,מינהל כללי,מנהל מערכות הנדסיות ממוחשבות ,,036406688
אגף הנדסה ותחזוקה,036409885,מינהל כללי,מהנדס האוניברסיטה,,036406688
אגף הנדסה ותחזוקה,036408320,מינהל כללי,שרטוט ונכסים,,036409881
אגף הנדסה ותחזוקה,036408213,מינהל כללי,סגן מנהל האגף ומנהל יחידת תחזוקה ותשתיות  ,,036409890
אגף הנדסה ותחזוקה,036408213,מינהל כללי,מזכירות היחידה ,,036409890
אגף הנדסה ותחזוקה,036406600,מינהל כללי,מנהל תפעול מבנים  ,,036409890
אגף הנדסה ותחזוקה,036408838,מינהל כללי,"מנהל תפעול חשמל , תקשורת ובקרה ",,036409890
אגף הנדסה ותחזוקה,036409353,מינהל כללי,מנהל תפעול מערכות  ,,036409890
אגף הנדסה ותחזוקה,036409962,מינהל כללי,רכז איכות הסביבה  ,,036409890
אגף הנדסה ותחזוקה,036408762,מינהל כללי,מדור חשמל  ,,036407997
אגף הנדסה ותחזוקה,036408170,מינהל כללי,מדור מים וקיטור  ,,036405346
אגף הנדסה ותחזוקה,036408502,מינהל כללי,מדור מכונות  ,,036406255
אגף הנדסה ותחזוקה,036408966,מינהל כללי,מדור מיזוג אוויר  ,,036407930
אגף הנדסה ותחזוקה,036408500,מינהל כללי,מדור מרכזי אנרגיה ,,036408891
אגף הנדסה ותחזוקה,036407888,מינהל כללי,מדור תקשורת ,,036408212
אגף הנדסה ותחזוקה,036407000,מינהל כללי,מפקח עבודות תקשורת ואחראי מערכות גילוי אש,,036408212
אגף הנדסה ותחזוקה,036409404,מינהל כללי,אחראית חיוב ובקרת חשבונות  ,,036408212
אגף הנדסה ותחזוקה,036407777,מינהל כללי,מרכזיה ,,036408212
אגף הנדסה ותחזוקה,036408103,מינהל כללי,מדור צבע,,036406479
אגף הנדסה ותחזוקה,036408402,מינהל כללי,מדור עץ  ,,036406786
אגף הנדסה ותחזוקה,036408401,מינהל כללי,מדור מתכת ,,036408731
אגף הנדסה ותחזוקה,036406677,מינהל כללי,בקרת הזמנות עבודה מבנים,,036409890
אגף הנדסה ותחזוקה,036408714,מינהל כללי,בקרת הזמנות עבודה מערכות ,,036409890
אגף הנדסה ותחזוקה,036407788,מינהל כללי,מנהל פרוייקטים  ,,036409890
אגף הנדסה ותחזוקה,036406699,מינהל כללי,מנהל פרוייקטים  ,,036409890
אגף הנדסה ותחזוקה,036409999,מינהל כללי,מוקד תחזוקה  ,,036409890
אגף הנדסה ותחזוקה,036405555,מינהל כללי,מנהל יחידת ביטחון,6425380,036408880
אגף הנדסה ותחזוקה,036405555,מינהל כללי,מזכירות יחידה,,036408880
אגף הנדסה ותחזוקה,036408222,מינהל כללי,מוקד ביטחון וחירום,,036408880
אגף הנדסה ותחזוקה,036405555,מינהל כללי,מדור ביטחון,,036408880
אגף הנדסה ותחזוקה,036405625,מינהל כללי,מדור משק וגינון,,036406193
אגף הנדסה ותחזוקה,036408600,מינהל כללי,מדור גינון,,036406193
אגף הנדסה ותחזוקה,036408577,מינהל כללי,מדור דואר,,036407918
אגף הנדסה ותחזוקה,036405959,מינהל כללי,סמולרס - תיאום ארועים,,036406794
אגף הנדסה ותחזוקה,036408416,מינהל כללי,מנהל ארכיון האוניברסיטה,,036408883
אגף הנדסה ותחזוקה,036408017,מינהל כללי,מדור שילוט,,036407189
אגף הנדסה ותחזוקה,,מינהל כללי,מרפאה ,6415818,
אגף מחשוב וטכנולוגיות מידע,036408117,מינהל כללי,מערכות כספים ולוגיסטיקה,,036405158
אגף מחשוב וטכנולוגיות מידע,036408995,מינהל כללי,פיתוח מערכת תלמידים,,036409878
אגף מחשוב וטכנולוגיות מידע,036408180,מינהל כללי,מנהלת מערכת תלמידים,,036409878
אגף מחשוב וטכנולוגיות מידע,036408307,מינהל כללי,גביית שירותי מחשוב,,036405158
אגף מחשוב וטכנולוגיות מידע,036408059,מינהל כללי,מזכירת אגף מחשוב וטכנולוגיות מידע,,036405158
אגף מחשוב וטכנולוגיות מידע,036406204,מינהל כללי,עוזרת  מנהלית,,036405158
אגף מחשוב וטכנולוגיות מידע,036408888,מינהל כללי,מרכז תמיכה  ותקלות,,036405158
אגף מחשוב וטכנולוגיות מידע,036406068,מינהל כללי,אבטחת מידע כללי,,036405158
אגף מחשוב וטכנולוגיות מידע,036408090,מינהל כללי,"מערכות כ""א",,036405158
אגף מחשוב וטכנולוגיות מידע,036408059,מינהל כללי,"סמנכ""ל מחשוב וטכנולוגיות מידע",6427521,036405158
אגף מחשוב וטכנולוגיות מידע,036408312,מינהל כללי,קלט פלט,,036405158
אגף מחשוב וטכנולוגיות מידע,036405797,מינהל כללי,מנהלת פרוייקט ERP ,,036405158
